,KodeEmiten,NamaEmiten
496,MKNT,PT Mitra Komunikasi Nusantara Tbk.
497,MKPI,Metropolitan Kentjana Tbk
498,MLBI,Multi Bintang Indonesia Tbk
499,MLIA,Mulia Industrindo Tbk
500,MLPL,Multipolar Tbk
501,MLPT,PT Multipolar Technology Tbk.
502,MMLP,PT Mega Manunggal Property Tbk.
503,MNCN,Media Nusantara Citra Tbk
504,MOLI,PT Madusari Murni Indah Tbk.
505,MORA,PT Mora Telematika Indonesia Tbk
506,MPMX,PT Mitra Pinasthika Mustika Tbk.
507,MPOW,PT Megapower Makmur Tbk.
508,MPPA,Matahari Putra Prima Tbk
509,MPRO,PT Maha Properti Indonesia Tbk.
510,MRAT,Mustika Ratu Tbk
511,MREI,Maskapai Reasuransi Indonesia Tbk
512,MSIN,PT MNC Digital Entertainment Tbk
513,MSKY,MNC Sky Vision Tbk
514,MTDL,Metrodata Electronics Tbk
515,MTEL,PT Dayamitra Telekomunikasi Tbk
516,MTFN,Capitalinc Investment Tbk
517,MTLA,Metropolitan Land Tbk
518,MTMH,PT Murni Sadar Tbk
519,MTPS,PT Meta Epsi Tbk.
520,MTRA,PT Mitra Pemuda Tbk.
521,MTSM,Metro Realty Tbk
522,MTWI,PT Malacca Trust Wuwungan Insurance Tbk.
523,MYOH,Samindo Resources Tbk
524,MYOR,Mayora Indah Tbk
525,MYRX,Hanson International Tbk
526,MYTX,PT Asia Pacific Investama Tbk.
527,NANO,PT Nanotech Indonesia Global Tbk
528,NASA,PT Andalan Perkasa Abadi Tbk
529,NASI,PT Wahana Inti Makmur Tbk
530,NATO,PT Surya Permata Andalan Tbk
531,NELY,Pelayaran Nelly Dwi Putri Tbk
532,NETV,PT Net Visi Media Tbk
533,NFCX,PT NFC Indonesia Tbk
534,NICK,PT Charnic Capital Tbk.
535,NICL,PT PAM Mineral Tbk
536,NIKL,Pelat Timah Nusantara Tbk
537,NIPS,Nipress Tbk
538,NIRO,City Retail Developments Tbk
539,NISP,PT Bank OCBC NISP Tbk
540,NOBU,PT Bank Nationalnobu Tbk.
541,NPGF,PT Nusa Palapa Gemilang Tbk
542,NRCA,PT Nusa Raya Cipta Tbk.
543,NTBK,PT Nusatama Berkah Tbk
544,NUSA,PT Sinergi Megah Internusa Tbk
545,NZIA,"PT Nusantara Almazia, Tbk."
546,OASA,PT Maharaksa Biru Energi Tbk
547,OBMD,PT OBM Drilchem Tbk
548,OCAP,ONIX CAPITAL Tbk
549,OILS,PT Indo Oil Perkasa Tbk
550,OKAS,Ancora Indonesia Resources Tbk
551,OLIV,PT Oscar Mitra Sukses Sejahtera Tbk
552,OMRE,Indonesia Prima Property Tbk
553,OPMS,PT Optima Prima Metal Sinergi Tbk.
554,PADI,Minna Padi Investama Sekuritas Tbk
555,PALM,Provident Agro Tbk
556,PAMG,PT Bima Sakti Pertiwi Tbk
557,PANI,PT Pratama Abadi Nusa Industri Tbk.
558,PANR,Panorama Sentrawisata Tbk
559,PANS,Panin Sekuritas Tbk
560,PBID,PT Panca Budi Idaman Tbk
561,PBRX,Pan Brothers Tbk
562,PBSA,PT Paramita Bangun Sarana Tbk
563,PCAR,PT Prima Cakrawala Abadi Tbk
564,PDES,Destinasi Tirta Nusantara Tbk
565,PEGE,PT Panca Global Kapital Tbk.
566,PEHA,PT Phapros Tbk
567,PGAS,PT Perusahaan Gas Negara Tbk.
